glyph_name,ps_name,USV,DesignerOrder,fonts,bcp47tags,OTLang,Feat
sad-ar.fina,uni0635.fina,,614,*,,,
sad-ar.medi,uni0635.medi,,615,*,,,
sad-ar.init,uni0635.init,,616,*,,,
sad-ar.half,uni0635.half,,617,H,,,cv20=1
sad-ar.half.fina,uni0635.half.fina,,618,H,,,cv20=1
sadTwodotsbelow-ar,uni069D,069D,619,SHL,,,
sadTwodotsbelow-ar.fina,uni069D.fina,,620,SHL,,,
sadTwodotsbelow-ar.medi,uni069D.medi,,621,SHL,,,
sadTwodotsbelow-ar.init,uni069D.init,,622,SHL,,,
sadTwodotsbelow-ar.half,uni069D.half,,623,H,,,cv20=1
sadTwodotsbelow-ar.half.fina,uni069D.half.fina,,624,H,,,cv20=1
sadThreedots-ar,uni069E,069E,625,SHL,,,
sadThreedots-ar.fina,uni069E.fina,,626,SHL,,,
sadThreedots-ar.medi,uni069E.medi,,627,SHL,,,
sadThreedots-ar.init,uni069E.init,,628,SHL,,,
sadThreedots-ar.half,uni069E.half,,629,H,,,cv20=1
sadThreedots-ar.half.fina,uni069E.half.fina,,630,H,,,cv20=1
sadThreedotsbelow-ar,uni08AF,08AF,631,SH,,,
sadThreedotsbelow-ar.fina,uni08AF.fina,,632,SH,,,
sadThreedotsbelow-ar.medi,uni08AF.medi,,633,SH,,,
sadThreedotsbelow-ar.init,uni08AF.init,,634,SH,,,
sadThreedotsbelow-ar.half,uni08AF.half,,635,H,,,cv20=1
sadThreedotsbelow-ar.half.fina,uni08AF.half.fina,,636,H,,,cv20=1
dad-ar,uni0636,0636,637,SHLM,,,
dad-ar.fina,uni0636.fina,,638,SHLM,,,
dad-ar.medi,uni0636.medi,,639,SHLM,,,
dad-ar.init,uni0636.init,,640,SHLM,,,
dad-ar.half,uni0636.half,,641,H,,,cv20=1
dad-ar.half.fina,uni0636.half.fina,,642,H,,,cv20=1
dadDotbelow-ar,uni06FB,06FB,643,SHL,,,
dadDotbelow-ar.fina,uni06FB.fina,,644,SHL,,,
dadDotbelow-ar.medi,uni06FB.medi,,645,SHL,,,
dadDotbelow-ar.init,uni06FB.init,,646,SHL,,,
dadDotbelow-ar.half,uni06FB.half,,647,H,,,cv20=1
dadDotbelow-ar.half.fina,uni06FB.half.fina,,648,H,,,cv20=1
tah-ar,uni0637,0637,649,*,,,
tah-ar.fina,uni0637.fina,,650,*,,,
tah-ar.medi,uni0637.medi,,651,*,,,
tah-ar.init,uni0637.init,,652,*,,,
tahThreedots-ar,uni069F,069F,653,SHLM,,,
tahThreedots-ar.fina,uni069F.fina,,654,SHLM,,,
tahThreedots-ar.medi,uni069F.medi,,655,SHLM,,,
tahThreedots-ar.init,uni069F.init,,656,SHLM,,,
zah-ar,uni0638,0638,657,SHLM,,,
zah-ar.fina,uni0638.fina,,658,SHLM,,,
zah-ar.medi,uni0638.medi,,659,SHLM,,,
zah-ar.init,uni0638.init,,660,SHLM,,,
tahTwodotsabove-ar,uni08A3,08A3,661,SH,,,
tahTwodotsabove-ar.fina,uni08A3.fina,,662,SH,,,
tahTwodotsabove-ar.medi,uni08A3.medi,,663,SH,,,
tahTwodotsabove-ar.init,uni08A3.init,,664,SH,,,
ain-ar,uni0639,0639,665,*,,,
ain-ar.fina,uni0639.fina,,666,*,,,
ain-ar.medi,uni0639.medi,,667,*,,,
ain-ar.init,uni0639.init,,668,*,,,
ainThreedots-ar,uni06A0,06A0,669,SHLM,,,
ainThreedots-ar.fina,uni06A0.fina,,670,SHLM,,,
ainThreedots-ar.medi,uni06A0.medi,,671,SHLM,,,
ainThreedots-ar.init,uni06A0.init,,672,SHLM,,,
ainTwodotshorizontalabove-ar,uni075D,075D,673,SHLM,,,
ainTwodotshorizontalabove-ar.fina,uni075D.fina,,674,SHLM,,,
ainTwodotshorizontalabove-ar.medi,uni075D.medi,,675,SHLM,,,
ainTwodotshorizontalabove-ar.init,uni075D.init,,676,SHLM,,,
ainThreedotsdownabove-ar,uni075E,075E,677,SHL,,,
ainThreedotsdownabove-ar.fina,uni075E.fina,,678,SHL,,,
ainThreedotsdownabove-ar.medi,uni075E.medi,,679,SHL,,,
ainThreedotsdownabove-ar.init,uni075E.init,,680,SHL,,,
ainTwodotsverticalabove-ar,uni075F,075F,681,SHL,,,
ainTwodotsverticalabove-ar.fina,uni075F.fina,,682,SHL,,,
ainTwodotsverticalabove-ar.medi,uni075F.medi,,683,SHL,,,
ainTwodotsverticalabove-ar.init,uni075F.init,,684,SHL,,,
ainThreedotsbelow-ar,uni08B3,08B3,685,SH,,,
ainThreedotsbelow-ar.fina,uni08B3.fina,,686,SH,,,
ainThreedotsbelow-ar.medi,uni08B3.medi,,687,SH,,,
ainThreedotsbelow-ar.init,uni08B3.init,,688,SH,,,
ghain-ar,uni063A,063A,689,SHLM,,,
ghain-ar.fina,uni063A.fina,,690,SHLM,,,
ghain-ar.medi,uni063A.medi,,691,SHLM,,,
ghain-ar.init,uni063A.init,,692,SHLM,,,
ghainDotbelow-ar,uni06FC,06FC,693,SHL,,,
ghainDotbelow-ar.fina,uni06FC.fina,,694,SHL,,,
ghainDotbelow-ar.medi,uni06FC.medi,,695,SHL,,,
ghainDotbelow-ar.init,uni06FC.init,,696,SHL,,,
feh-ar,uni0641,0641,697,SHLM,,,
feh-ar.fina,uni0641.fina,,698,SHLM,,,
feh-ar.medi,uni0641.medi,,699,SHLM,,,
feh-ar.init,uni0641.init,,700,SHLM,,,
veh-ar,uni06A4,06A4,701,SHLM,,,
veh-ar.fina,uni06A4.fina,,702,SHLM,,,
veh-ar.medi,uni06A4.medi,,703,SHLM,,,
veh-ar.init,uni06A4.init,,704,SHLM,,,
fehDotless-ar,uni06A1,06A1,705,*,,,
fehDotless-ar.fina,uni06A1.fina,,706,*,,,
fehDotless-ar.medi,uni06A1.medi,,707,*,,,
fehDotless-ar.init,uni06A1.init,,708,*,,,
fehDotmovedbelow-ar,uni06A2,06A2,709,SHLM,,,
fehDotmovedbelow-ar.fina,uni06A2.fina,,710,SHLM,,,
fehDotmovedbelow-ar.medi,uni06A2.medi,,711,SHLM,,,
fehDotmovedbelow-ar.init,uni06A2.init,,712,SHLM,,,
fehDotbelow-ar,uni06A3,06A3,713,SHL,,,
fehDotbelow-ar.fina,uni06A3.fina,,714,SHL,,,
fehDotbelow-ar.medi,uni06A3.medi,,715,SHL,,,
fehDotbelow-ar.init,uni06A3.init,,716,SHL,,,
fehThreedotsbelow-ar,uni06A5,06A5,717,SHL,,,
fehThreedotsbelow-ar.fina,uni06A5.fina,,718,SHL,,,
fehThreedotsbelow-ar.medi,uni06A5.medi,,719,SHL,,,
fehThreedotsbelow-ar.init,uni06A5.init,,720,SHL,,,
fehTwodotsbelow-ar,uni0760,0760,725,SHLM,,,
fehTwodotsbelow-ar.fina,uni0760.fina,,726,SHLM,,,
fehTwodotsbelow-ar.medi,uni0760.medi,,727,SHLM,,,
fehTwodotsbelow-ar.init,uni0760.init,,728,SHLM,,,
fehThreedotsupbelow-ar,uni0761,0761,730,H,,,
fehThreedotsupbelow-ar.fina,uni0761.fina,,732,H,,,
fehThreedotsupbelow-ar.medi,uni0761.medi,,734,H,,,
fehThreedotsupbelow-ar.init,uni0761.init,,736,H,,,
fehDotbelowThreedotsabove-ar,uni08A4,08A4,737,SH,,,
fehDotbelowThreedotsabove-ar.fina,uni08A4.fina,,738,SH,,,
fehDotbelowThreedotsabove-ar.medi,uni08A4.medi,,739,SH,,,
fehDotbelowThreedotsabove-ar.init,uni08A4.init,,740,SH,,,
fehAfrican-ar,uni08BB,08BB,741,SHM,,,
fehAfrican-ar.fina,uni08BB.fina,,742,SHM,,,
fehAfrican-ar.medi,uni08BB.medi,,743,SHM,,,
fehAfrican-ar.init,uni08BB.init,,744,SHM,,,
qafDotless-ar,uni066F,066F,745,*,,,
qafDotless-ar.fina,uni066F.fina,,746,*,,,
qafDotless-ar.medi,uni066F.medi,,747,*,,,
qafDotless-ar.init,uni066F.init,,748,*,,,
qaf-ar,uni0642,0642,749,SHLM,,,
qaf-ar.fina,uni0642.fina,,750,SHLM,,,
qaf-ar.medi,uni0642.medi,,751,SHLM,,,
qaf-ar.init,uni0642.init,,752,SHLM,,,
qafDotabove-ar,uni06A7,06A7,753,SHLM,,,
qafDotabove-ar.fina,uni06A7.fina,,754,SHLM,,,
qafDotabove-ar.medi,uni06A7.medi,,755,SHLM,,,
qafDotabove-ar.init,uni06A7.init,,756,SHLM,,,
qafThreedotsabove-ar,uni06A8,06A8,757,SHLM,,,
qafThreedotsabove-ar.fina,uni06A8.fina,,758,SHLM,,,
qafThreedotsabove-ar.medi,uni06A8.medi,,759,SHLM,,,
qafThreedotsabove-ar.init,uni06A8.init,,760,SHLM,,,
qafDotbelow-ar,uni08A5,08A5,761,SH,,,
qafDotbelow-ar.fina,uni08A5.fina,,762,SH,,,
qafDotbelow-ar.medi,uni08A5.medi,,763,SH,,,
qafDotbelow-ar.init,uni08A5.init,,764,SH,,,
qafAfrican-ar,uni08BC,08BC,765,SHM,,,
qafAfrican-ar.fina,uni08BC.fina,,766,SHM,,,
qafAfrican-ar.medi,uni08BC.medi,,767,SHM,,,
qafAfrican-ar.init,uni08BC.init,,768,SHM,,,
kaf-ar,uni0643,0643,769,*,,,
kaf-ar.fina,uni0643.fina,,770,*,,,
kaf-ar.medi,uni0643.medi,,771,*,,,
kaf-ar.init,uni0643.init,,772,*,,,
kafDotbelow-ar,uni08B4,08B4,773,SH,,,
kafDotbelow-ar.fina,uni08B4.fina,,774,SH,,,
kafDotbelow-ar.medi,uni08B4.medi,,775,SH,,,
kafDotbelow-ar.init,uni08B4.init,,776,SH,,,
keheh-ar,uni06A9,06A9,777,*,,,
keheh-ar.fina,uni06A9.fina,,778,*,,,
keheh-ar.medi,uni06A9.medi,,779,*,,,
keheh-ar.init,uni06A9.init,,780,*,,,
kehehTwodotshorizontalabove-ar,uni063B,063B,781,SH,,,
kehehTwodotshorizontalabove-ar.fina,uni063B.fina,,782,SH,,,
kehehTwodotshorizontalabove-ar.medi,uni063B.medi,,783,SH,,,
kehehTwodotshorizontalabove-ar.init,uni063B.init,,784,SH,,,
kehehThreedotsbelow-ar,uni063C,063C,785,SH,,,
kehehThreedotsbelow-ar.fina,uni063C.fina,,786,SH,,,
kehehThreedotsbelow-ar.medi,uni063C.medi,,787,SH,,,
kehehThreedotsbelow-ar.init,uni063C.init,,788,SH,,,
kehehDotabove-ar,uni0762,0762,789,SHL,,,
kehehDotabove-ar.fina,uni0762.fina,,790,SHL,,,
kehehDotabove-ar.medi,uni0762.medi,,791,SHL,,,
kehehDotabove-ar.init,uni0762.init,,792,SHL,,,
kehehThreedotsabove-ar,uni0763,0763,793,SHLM,,,
kehehThreedotsabove-ar.fina,uni0763.fina,,794,SHLM,,,
kehehThreedotsabove-ar.medi,uni0763.medi,,795,SHLM,,,
kehehThreedotsabove-ar.init,uni0763.init,,796,SHLM,,,
kehehThreedotsupbelow-ar,uni0764,0764,798,H,,,
kehehThreedotsupbelow-ar.fina,uni0764.fina,,800,H,,,
kehehThreedotsupbelow-ar.medi,uni0764.medi,,802,H,,,
kehehThreedotsupbelow-ar.init,uni0764.init,,804,H,,,
gaf-ar,uni06AF,06AF,805,SHLM,,,
gaf-ar.fina,uni06AF.fina,,806,SHLM,,,
gaf-ar.medi,uni06AF.medi,,807,SHLM,,,
gaf-ar.init,uni06AF.init,,808,SHLM,,,
kafswash-ar,uni06AA,06AA,817,*,,,
kafswash-ar.fina,uni06AA.fina,,818,*,,,
kafswash-ar.medi,uni06AA.medi,,819,*,,,
kafswash-ar.init,uni06AA.init,,820,*,,,
kafDotabove-ar,uni06AC,06AC,825,SHL,,,
kafDotabove-ar.fina,uni06AC.fina,,826,SHL,,,
kafDotabove-ar.medi,uni06AC.medi,,827,SHL,,,
kafDotabove-ar.init,uni06AC.init,,828,SHL,,,
kafTwodotshorizontalabove-ar,uni077F,077F,829,SH,,,
kafTwodotshorizontalabove-ar.fina,uni077F.fina,,830,SH,,,
kafTwodotshorizontalabove-ar.medi,uni077F.medi,,831,SH,,,
kafTwodotshorizontalabove-ar.init,uni077F.init,,832,SH,,,
kafThreedotsbelow-ar,uni06AE,06AE,833,SHL,,,
kafThreedotsbelow-ar.fina,uni06AE.fina,,834,SHL,,,
kafThreedotsbelow-ar.medi,uni06AE.medi,,835,SHL,,,
kafThreedotsbelow-ar.init,uni06AE.init,,836,SHL,,,
ng-ar,uni06AD,06AD,845,SHLM,,,
ng-ar.fina,uni06AD.fina,,846,SHLM,,,
ng-ar.medi,uni06AD.medi,,847,SHLM,,,
ng-ar.init,uni06AD.init,,848,SHLM,,,
lam-ar,uni0644,0644,857,*,,,
lam-ar.fina,uni0644.fina,,858,*,,,
lam-ar.medi,uni0644.medi,,859,*,,,
lam-ar.init,uni0644.init,,860,*,,,
lam-ar.preAlef.medi,uni0644.preAlef.medi,,861,*,,,
lam-ar.preAlef.init,uni0644.preAlef.init,,862,*,,,
lamVabove-ar,uni06B5,06B5,863,SHL,,,
lamVabove-ar.fina,uni06B5.fina,,864,SHL,,,
lamVabove-ar.medi,uni06B5.medi,,865,SHL,,,
lamVabove-ar.init,uni06B5.init,,866,SHL,,,
lamVabove-ar.preAlef.medi,uni06B5.preAlef.medi,,867,SHL,,,
lamVabove-ar.preAlef.init,uni06B5.preAlef.init,,868,SHL,,,
lamDotabove-ar,uni06B6,06B6,869,SHL,,,
lamDotabove-ar.fina,uni06B6.fina,,870,SHL,,,
lamDotabove-ar.medi,uni06B6.medi,,871,SHL,,,
lamDotabove-ar.init,uni06B6.init,,872,SHL,,,
lamDotabove-ar.preAlef.medi,uni06B6.preAlef.medi,,873,SHL,,,
lamDotabove-ar.preAlef.init,uni06B6.preAlef.init,,874,SHL,,,
lamThreedotsabove-ar,uni06B7,06B7,875,SHL,,,
lamThreedotsabove-ar.fina,uni06B7.fina,,876,SHL,,,
lamThreedotsabove-ar.medi,uni06B7.medi,,877,SHL,,,
lamThreedotsabove-ar.init,uni06B7.init,,878,SHL,,,
lamThreedotsabove-ar.preAlef.medi,uni06B7.preAlef.medi,,879,SHL,,,
lamThreedotsabove-ar.preAlef.init,uni06B7.preAlef.init,,880,SHL,,,
lamThreedotsbelow-ar,uni06B8,06B8,881,SHL,,,
lamThreedotsbelow-ar.fina,uni06B8.fina,,882,SHL,,,
lamThreedotsbelow-ar.medi,uni06B8.medi,,883,SHL,,,
lamThreedotsbelow-ar.init,uni06B8.init,,884,SHL,,,
lamThreedotsbelow-ar.preAlef.medi,uni06B8.preAlef.medi,,885,SHL,,,
lamThreedotsbelow-ar.preAlef.init,uni06B8.preAlef.init,,886,SHL,,,
lamBar-ar,uni076A,076A,887,SHL,,,
lamBar-ar.fina,uni076A.fina,,888,SHL,,,
lamBar-ar.medi,uni076A.medi,,889,SHL,,,
lamBar-ar.init,uni076A.init,,890,SHL,,,
lamBar-ar.preAlef.medi,uni076A.preAlef.medi,,891,SHL,,,
lamBar-ar.preAlef.init,uni076A.preAlef.init,,892,SHL,,,
lamDoublebar-ar,uni08A6,08A6,893,SH,,,
lamDoublebar-ar.fina,uni08A6.fina,,894,SH,,,
lamDoublebar-ar.medi,uni08A6.medi,,895,SH,,,
lamDoublebar-ar.init,uni08A6.init,,896,SH,,,
lamDoublebar-ar.preAlef.medi,uni08A6.preAlef.medi,,897,SH,,,
lamDoublebar-ar.preAlef.init,uni08A6.preAlef.init,,898,SH,,,
lam_hamza-ar.preAlef.init,uni0644_uni0621.preAlef.init,0644 0621,899,H,,,
lam_hamza-ar.preAlef.warsh.init,uni0644_uni0621.preAlef.warsh.init,,900,H,,,"cv02=1,2"
meem-ar,uni0645,0645,901,*,,,
meem-ar.fina,uni0645.fina,,902,*,,,
meem-ar.medi,uni0645.medi,,903,*,,,
meem-ar.init,uni0645.init,,904,*,,,
meem-ar.sindhi,uni0645.sindhi,,905,SHL,sd,SND,cv44=1
meem-ar.sindhi.fina,uni0645.sindhi.fina,,906,SHL,,,
meemDotabove-ar,uni0765,0765,907,SHL,,,
meemDotabove-ar.fina,uni0765.fina,,908,SHL,,,
meemDotabove-ar.medi,uni0765.medi,,909,SHL,,,
meemDotabove-ar.init,uni0765.init,,910,SHL,,,
meemDotabove-ar.sindhi,uni0765.sindhi,,911,SHL,sd,SND,cv44=1
meemDotabove-ar.sindhi.fina,uni0765.sindhi.fina,,912,SHL,,,
meemDotbelow-ar,uni0766,0766,913,SHL,,,
meemDotbelow-ar.fina,uni0766.fina,,914,SHL,,,
meemDotbelow-ar.medi,uni0766.medi,,915,SHL,,,
meemDotbelow-ar.init,uni0766.init,,916,SHL,,,
meemDotbelow-ar.sindhi,uni0766.sindhi,,917,SHL,sd,SND,cv44=1
meemDotbelow-ar.sindhi.fina,uni0766.sindhi.fina,,918,SHL,,,
meemThreedotsabove-ar,uni08A7,08A7,919,SH,,,
meemThreedotsabove-ar.fina,uni08A7.fina,,920,SH,,,
meemThreedotsabove-ar.medi,uni08A7.medi,,921,SH,,,
meemThreedotsabove-ar.init,uni08A7.init,,922,SH,,,
meemThreedotsabove-ar.sindhi,uni08A7.sindhi,,923,SH,sd,SND,cv44=1
meemThreedotsabove-ar.sindhi.fina,uni08A7.sindhi.fina,,924,SH,,,
noon-ar,uni0646,0646,925,SHLM,,,
noon-ar.fina,uni0646.fina,,926,SHLM,,,
noon-ar.medi,uni0646.medi,,927,SHLM,,,
noon-ar.init,uni0646.init,,928,SHLM,,,
noonDotbelow-ar,uni06B9,06B9,929,SHL,,,
noonDotbelow-ar.fina,uni06B9.fina,,930,SHL,,,
noonDotbelow-ar.medi,uni06B9.medi,,931,SHL,,,
noonDotbelow-ar.init,uni06B9.init,,932,SHL,,,
noonghunna-ar,uni06BA,06BA,933,SHLM,,,
noonghunna-ar.fina,uni06BA.fina,,934,SHLM,,,
noonghunna-ar.medi,uni06BA.medi,,935,SHLM,,,
noonghunna-ar.init,uni06BA.init,,936,SHLM,,,
noonRing-ar,uni06BC,06BC,941,SHL,,,
noonRing-ar.fina,uni06BC.fina,,942,SHL,,,
noonRing-ar.medi,uni06BC.medi,,943,SHL,,,
noonRing-ar.init,uni06BC.init,,944,SHL,,,
noonThreedotsabove-ar,uni06BD,06BD,945,SHL,,,
noonThreedotsabove-ar.fina,uni06BD.fina,,946,SHL,,,
noonThreedotsabove-ar.medi,uni06BD.medi,,947,SHL,,,
noonThreedotsabove-ar.init,uni06BD.init,,948,SHL,,,
noonTwodotsbelow-ar,uni0767,0767,949,SHLM,,,
noonTwodotsbelow-ar.fina,uni0767.fina,,950,SHLM,,,
noonTwodotsbelow-ar.medi,uni0767.medi,,951,SHLM,,,
noonTwodotsbelow-ar.init,uni0767.init,,952,SHLM,,,
noonVabove-ar,uni0769,0769,957,SHL,,,
noonVabove-ar.fina,uni0769.fina,,958,SHL,,,
noonVabove-ar.medi,uni0769.medi,,959,SHL,,,
noonVabove-ar.init,uni0769.init,,960,SHL,,,
noonAfrican-ar,uni08BD,08BD,961,SHM,,,
noonAfrican-ar.fina,uni08BD.fina,,962,SHM,,,
noonAfrican-ar.medi,uni08BD.medi,,963,SHM,,,
noonAfrican-ar.init,uni08BD.init,,964,SHM,,,
heh-ar,uni0647,0647,965,SHLM,,,
heh-ar.fina,uni0647.fina,,966,SHLM,,,
heh-ar.medi,uni0647.medi,,967,SHLM,,,
heh-ar.init,uni0647.init,,968,SHLM,,,
hehHamzaabove-ar,uni06C0,06C0,976,SHL,,,
hehHamzaabove-ar.fina,uni06C0.fina,,977,SHL,,,
hehDoachashmee-ar.medi,uni06BE.medi,,988,SHL,,,
hehDoachashmee-ar.init,uni06BE.init,,989,SHL,,,
tehMarbuta-ar,uni0629,0629,994,SHLM,,,
tehMarbuta-ar.fina,uni0629.fina,,995,SHLM,,,
ae-ar,uni06D5,06D5,998,SHL,,,
ae-ar.fina,uni06D5.fina,,999,SHL,,,
waw-ar,uni0648,0648,1000,*,,,
waw-ar.fina,uni0648.fina,,1001,*,,,
wawTwodots-ar,uni06CA,06CA,1014,SHL,,,
wawTwodots-ar.fina,uni06CA.fina,,1015,SHL,,,
wawDotabove-ar,uni06CF,06CF,1016,SHL,,,
wawDotabove-ar.fina,uni06CF.fina,,1017,SHL,,,
wawHamzaabove-ar,uni0624,0624,1018,SHLM,,,
wawHamzaabove-ar.fina,uni0624.fina,,1019,SHLM,,,
oe-ar,uni06C6,06C6,1030,SHLM,,,
oe-ar.fina,uni06C6.fina,,1031,SHLM,,,
yu-ar,uni06C8,06C8,1032,SHLM,,,
yu-ar.fina,uni06C8.fina,,1033,SHLM,,,
kirghizyu-ar,uni06C9,06C9,1034,SHLM,,,
kirghizyu-ar.fina,uni06C9.fina,,1035,SHLM,,,
ve-ar,uni06CB,06CB,1036,SHL,,,
ve-ar.fina,uni06CB.fina,,1037,SHL,,,
alefMaksura-ar,uni0649,0649,1038,SHLM,,,
alefMaksura-ar.fina,uni0649.fina,,1039,SHLM,,,
alefMaksura-ar.medi,uni0649.medi,,1040,SHLM,,,
alefMaksura-ar.init,uni0649.init,,1041,SHLM,,,
yeh-ar,uni064A,064A,1043,SHLM,,,
yeh-ar.fina,uni064A.fina,,1044,SHLM,,,
yeh-ar.medi,uni064A.medi,,1045,SHLM,,,
yeh-ar.init,uni064A.init,,1046,SHLM,,,
yeh-ar.noDots,uni064A.noDots,,1047,*,,,
yeh-ar.noDots.fina,uni064A.noDots.fina,,1048,*,,,
yeh-ar.noDots.medi,uni064A.noDots.medi,,1049,SHLM,,,
yeh-ar.noDots.init,uni064A.noDots.init,,1050,SHLM,,,
yehHamzaabove-ar,uni0626,0626,1051,SHLM,,,
yehHamzaabove-ar.fina,uni0626.fina,,1052,SHLM,,,
yehHamzaabove-ar.medi,uni0626.medi,,1053,SHLM,,,
yehHamzaabove-ar.init,uni0626.init,,1054,SHLM,,,
yehVabove-ar,uni06CE,06CE,1055,SHL,,,
yehVabove-ar.fina,uni06CE.fina,,1056,SHL,,,
yehVabove-ar.medi,uni06CE.medi,,1057,SHL,,,
yehVabove-ar.init,uni06CE.init,,1058,SHL,,,
yehTwodotsbelowHamzaabove-ar,uni08A8,08A8,1059,SHM,,,
yehTwodotsbelowHamzaabove-ar.fina,uni08A8.fina,,1060,SHM,,,
yehTwodotsbelowHamzaabove-ar.medi,uni08A8.medi,,1061,SHM,,,
yehTwodotsbelowHamzaabove-ar.init,uni08A8.init,,1062,SHM,,,
yehTwodotsbelowDotabove-ar,uni08A9,08A9,1063,SHM,,,
yehTwodotsbelowDotabove-ar.fina,uni08A9.fina,,1064,SHM,,,
yehTwodotsbelowDotabove-ar.medi,uni08A9.medi,,1065,SHM,,,
yehTwodotsbelowDotabove-ar.init,uni08A9.init,,1066,SHM,,,
yehVinverted-farsi,uni063D,063D,1067,SHL,,,
yehVinverted-farsi.fina,uni063D.fina,,1068,SHL,,,
yehVinverted-farsi.medi,uni063D.medi,,1069,SHL,,,
yehVinverted-farsi.init,uni063D.init,,1070,SHL,,,
yeh-farsi,uni06CC,06CC,1071,SHLM,,,
yeh-farsi.fina,uni06CC.fina,,1072,SHLM,,,
yeh-farsi.medi,uni06CC.medi,,1073,SHLM,,,
yeh-farsi.init,uni06CC.init,,1074,SHLM,,,
yehTwodotsabove-farsi,uni063E,063E,1075,SH,,,
yehTwodotsabove-farsi.fina,uni063E.fina,,1076,SH,,,
yehTwodotsabove-farsi.medi,uni063E.medi,,1077,SH,,,
yehTwodotsabove-farsi.init,uni063E.init,,1078,SH,,,
yehThreedotsabove-farsi,uni063F,063F,1079,SH,,,
yehThreedotsabove-farsi.fina,uni063F.fina,,1080,SH,,,
yehThreedotsabove-farsi.medi,uni063F.medi,,1081,SH,,,
yehThreedotsabove-farsi.init,uni063F.init,,1082,SH,,,
e-ar,uni06D0,06D0,1101,SHLM,,,
e-ar.fina,uni06D0.fina,,1102,SHLM,,,
e-ar.medi,uni06D0.medi,,1103,SHLM,,,
e-ar.init,uni06D0.init,,1104,SHLM,,,
yehThreedotsbelow-ar,uni06D1,06D1,1105,SHLM,,,
yehThreedotsbelow-ar.fina,uni06D1.fina,,1106,SHLM,,,
yehThreedotsbelow-ar.medi,uni06D1.medi,,1107,SHLM,,,
yehThreedotsbelow-ar.init,uni06D1.init,,1108,SHLM,,,
yehTwodotsbelowNoonabove-ar,uni08BA,08BA,1109,SH,,,
yehTwodotsbelowNoonabove-ar.fina,uni08BA.fina,,1110,SH,,,
yehTwodotsbelowNoonabove-ar.medi,uni08BA.medi,,1111,SH,,,
yehTwodotsbelowNoonabove-ar.init,uni08BA.init,,1112,SH,,,
yehbarree-ar,uni06D2,06D2,1113,SHLM,,,
yehbarree-ar.fina,uni06D2.fina,,1114,SHL,,,
yehbarreeHamzaabove-ar,uni06D3,06D3,1115,SHLM,,,
yehbarreeHamzaabove-ar.fina,uni06D3.fina,,1116,SHLM,,,
allah-ar,uniFDF2,FDF2,1131,*,,,
kashida-ar,uni0640,0640,1132,*,,,
absAutoKashida,absAutoKashida,,1133,*,,,
sadabove-ar,uni0610,0610,1134,SH,,,
ainabove-ar,uni0611,0611,1135,SH,,,
takhallusabove-ar,uni0614,0614,1136,SHL,,,
dammasmall-ar,uni0619,0619,1141,SH,,,
threedots-ar,uni061E,061E,1143,SHLM,,,
alefabove-ar,uni0670,0670,1145,SHLM,,,
alefabove-ar.large,uni0670.large,,1146,SHL,,,cv76=2
alefbelow-ar,uni0656,0656,1147,SHLM,,,
hamzaabove-ar,uni0654,0654,1148,SHLM,,,
hamzabelow-ar,uni0655,0655,1149,SHLM,,,
fathatan-ar,uni064B,064B,1150,*,,,
dammatan-ar,uni064C,064C,1151,*,,,
dammatan-ar.sixNine,uni064C.sixNine,,1152,SHL,,,cv72=1
kasratan-ar,uni064D,064D,1153,*,,,
kasratan-ar.lowered,uni064D.lowered,,1154,SHM,,,
fatha-ar,uni064E,064E,1155,*,,,
damma-ar,uni064F,064F,1156,*,,,
damma-ar.short,uni064F.short,,1158,SH,,,cv70=1
kasra-ar,uni0650,0650,1159,*,,,
kasra-ar.lowered,uni0650.lowered,,1160,SHM,,,
shadda-ar,uni0651,0651,1161,*,,,
sukun-ar,uni0652,0652,1162,*,,,
sukun-ar.downOpen,uni0652.downOpen,,1163,SHL,,,cv78=1
sukun-ar.leftOpen,uni0652.leftOpen,,1164,SHL,,,cv78=2
madda-ar,uni0653,0653,1165,*,,,
madda-ar.small,uni0653.small,,1166,SH,,,cv60=1
noonghunnaabove-ar,uni0658,0658,1167,SHL,,,
dammainverted-ar,uni0657,0657,1168,SHL,,,
vabove-ar,uni065A,065A,1171,SHLM,,,
vinvertedabove-ar,uni065B,065B,1172,SHLM,,,
dotvowelbelow-ar,uni065C,065C,1173,SHLM,,,
dammareversed-ar,uni065D,065D,1174,SHL,,,
fathatwodots-ar,uni065E,065E,1175,SHL,,,
sadLamAlefMaksuraabove-ar,uni06D6,06D6,1176,SHL,,,
qafLamAlefMaksuraabove-ar,uni06D7,06D7,1177,SHL,,,
meemabove-ar,uni06D8,06D8,1178,SHL,,,
meemStopabove-ar,uni06E2,06E2,1179,SHL,,,
lamAlefabove-ar,uni06D9,06D9,1180,SHL,,,
jeemabove-ar,uni06DA,06DA,1181,SHL,,,
threedotsabove-ar,uni06DB,06DB,1182,SHL,,,
seenabove-ar,uni06DC,06DC,1183,SHL,,,
sukunround-ar,uni06DF,06DF,1185,SHL,,,
sukunoval-ar,uni06E0,06E0,1186,SHL,,,
seenbelow-ar,uni06E3,06E3,1188,SHL,,,
maddalong-ar,uni06E4,06E4,1189,SHL,,,
wawSmall-ar,uni06E5,06E5,1190,SHL,,,
yehbelow-ar,uni06E6,06E6,1191,SHL,,,
yehabove-ar,uni06E7,06E7,1192,SHLM,,,
