Name	Order	USV	Dir	shapeOrder	Fonts	base	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat
absLamThreeDotsBelow	511	06B8	AL	894	SHL	absLam		_dot3d										
# absLamRetro	512		AL	1521	-	absLam	_tah											
absLamBar	513	076A	AL	895	SHL	absLam					_bar							
absLamDoubleBar	514	08A6	AL	896	SH	absLam					_bar2			6.1				
absMeem	515	0645	AL	918	*													
absMeem.sindhi	516		AL	934	SHL										Sindhi	sd	SND	cv44=1
absMeemDotAbove	517	0765	AL	919	SHL	absMeem	_dot1											
absMeemDotAbove.sindhi	518		AL	937	SHL	absMeem.sindhi	_dot1								Sindhi	sd	SND	cv44=1
absMeemDotBelow	519	0766	AL	920	SHL	absMeem		_dot1										
absMeemDotBelow.sindhi	520		AL	938	SHL	absMeem.sindhi		_dot1							Sindhi	sd	SND	cv44=1
absMeemThreeDotsAbove	521	08A7	AL	921	SH	absMeem	_dot3u							6.1				
absMeemThreeDotsAbove.sindhi	522		AL	935	SH	absMeem.sindhi	_dot3u								Sindhi	sd	SND	cv44=1
absNoon	523	0646	AL	945	SHLM	absNoonGhunna	_dot1											
absNoonDotBelow	524	06B9	AL	946	SHL	absNoonGhunna	_dot1	_dot1										
absNoonGhunna	525	06BA	AL	943	SHLM													
absAfricanNoon	526	08BD	AL	944	SHM	absNoonGhunna								9.0				
absRnoon	527	06BB	AL	947	SL	absNoonGhunna	_tah											
absNoonRing	528	06BC	AL	948	SL	absNoonGhunna	_dot1			_ring								
absNoonThreeDotsAbove	529	06BD	AL	949	SHL	absNoonGhunna	_dot3u											
absNoonTwoDotsBelow	530	0767	AL	950	SHLM	absNoonGhunna	_dot1	_dot2h										
absNoonRetro	531	0768	AL	951	SL	absNoonGhunna	_dot1_tah											
absNoonSmallV	532	0769	AL	952	SHL	absNoonGhunna	_dot1_smallV											
absHehDoachashmee	533	06BE	AL	982	SL													
absHehHat	534	06FF	AL	984	SL	absHehDoachashmee	_hat											
absHeh	535	0647	AL	964	SHLM	absAe												
absHeh.knotted	536		AL	983	SL	absHehDoachashmee									"Kurdish, Sindhi"	"sd,ku"	"SND,KUR"	"cv48=1,3"
absAe	537	06D5	AL	963	SHL													
absTehMarbuta	538	0629	AL	966	SHLM	absAe	_dot2h											
absHehYehAbove	539	06C0	AL	967	SHL	absAe	_hamza											
absHehGoal	540	06C1	AL	965	SL	absAe												
absHehGoalHamzaAbove	541	06C2	AL	968	SL	absAe	_hamza											
absTehMarbutaGoal	542	06C3	AL	969	SL	absAe	_dot2h											
absHamza	543	0621	AL	1000	*													
absSignSindhiAmpersand	544	06FD	AL	1001	SL	absHamza		_lines										
absSignSindhiPostpositionMen	545	06FE	AL	936	SL	absMeem.sindhi		_lines										
absTatweel	546	0640	AL	1112	*													
# absLamAlef	547		AL	#VALUE!	-													
# absLamSmallVAlef	548		AL	#VALUE!	-	absLamAlef	_smallV											
# absLamDotAboveAlef	549		AL	#VALUE!	-	absLamAlef	_dot1											
# absLamThreeDotsAboveAlef	550		AL	#VALUE!	-	absLamAlef	_dot3u											
# absLamThreeDotsBelowAlef	551		AL	#VALUE!	-	absLamAlef		_dot3d										
# absLamRetroAlef	552		AL	#VALUE!	-	absLamAlef	_tah											
# absLamBarAlef	553		AL	#VALUE!	-	absLamAlef					_bar							
absAlefMaddaAboveFin	554		AL	296	SHLM	absAlefFin	_madda											
absAlefMaddaAboveFin.small	555		AL	297	SH	absAlefFin	_madda.small											cv60=1
absAlefHamzaAboveFin	556		AL	298	SHLM	absAlefFin	_hamza											
absAlefHamzaAboveFin.warsh	557		AL	299	H	absAlefFin	_hamza								in Warsh these touch			"cv02=1,2"
absAlefHamzaBelowFin	558		AL	300	SHLM	absAlefFin		_hamza										
absAlefHamzaBelowFin.warsh	559		AL	301	H	absAlefFin		_hamza							in Warsh these touch			"cv02=1,2"
absAlefFin	560		AL	295	*													
absAlefWavyHamzaAboveFin	561		AL	302	SL	absAlefFin	_wavyHamza											
absAlefWavyHamzaBelowFin	562		AL	303	SL	absAlefFin		_wavyHamza										
absHighHamzaAlefFin	563		AL	304	SL	absAlefFin	_highHamza											
absAlefWaslaFin	564		AL	305	SHL	absAlefFin	_wasla											
absAlefDigitTwoAboveFin	565		AL	306	S	absAlefFin						_two		5.1				
absAlefDigitThreeAboveFin	566		AL	307	S	absAlefFin						_three		5.1				
absWawHamzaAboveFin	567		AL	327	SHLM	absWawFin	_hamza											
absWawFin	568		AL	326	*													
absHighHamzaWawFin	569		AL	328	SL	absWawFin	_highHamza											
absUHamzaAboveFin	570		AL	329	SL	absWawFin	_hamzaDamma											
absUHamzaAboveFin.filled	571		AL	330	SL	absWawFin	_hamzaDamma.filled											
absWawRingFin	572		AL	331	SL	absWawFin				_ring								
absKirghizOeFin	573		AL	332	SL	absWawFin					_bar							
absOeFin	574		AL	333	SHLM	absWawFin	_smallV											
absUFin	575		AL	334	SL	absWawFin	_damma											
absUFin.filled	576		AL	335	SL	absWawFin	_damma.filled											
absYuFin	577		AL	336	SHLM	absWawFin	_vline											
absKirghizYuFin	578		AL	337	SHLM	absWawFin	_hat											
absWawTwoDotsAboveFin	579		AL	338	SHL	absWawFin	_dot2h											
absVeFin	580		AL	339	SHL	absWawFin	_dot3u											
absWawDotAboveFin	581		AL	340	SHL	absWawFin	_dot1											
absWawDigitTwoAboveFin	582		AL	341	S	absWawFin	_two							5.1				
absWawDigitThreeAboveFin	583		AL	342	S	absWawFin	_three							5.1				
# absWawDotBelowFin	584		AL	1522	-	absWawFin		_dot1										
absWawDotWithinFin	585		AL	343	S	absWawFin			_dot1					6.1				
absDalFin	586		AL	376	*													
absThalFin	587		AL	377	SHLM	absDalFin	_dot1											
absDdalFin	588		AL	378	SL	absDalFin	_tah											
absDalRingFin	589		AL	379	SHL	absDalFin				_ring								
absDalDotBelowFin	590		AL	380	SHL	absDalFin		_dot1										
absDalDotBelowSmallTahFin	591		AL	381	SHL	absDalFin	_tah	_dot1										
absDahalFin	592		AL	382	SHL	absDalFin	_dot2h											
absDdahalFin	593		AL	383	SHL	absDalFin		_dot2h										
absDulFin	594		AL	384	SHL	absDalFin	_dot3u											
absDalThreeDotsAboveDownwardsFin	595		AL	385	SHL	absDalFin	_dot3d											
absDalFourDotsAboveFin	596		AL	386	SL	absDalFin	_dot4											
absDalHatFin	597		AL	387	SHL	absDalFin	_hat											
absDalTwoVertBelowSmallTahFin	598		AL	388	SL	absDalFin	_tah	_dot2v										
absDalInvSmallVBelowFin	599		AL	389	SHL	absDalFin		_invSmallV										
absDalThreeDotsBelowFin	600		AL	390	SH	absDalFin		_dot3d						7.0				
absRehFin	601		AL	409	*													
absZainFin	602		AL	410	SHLM	absRehFin	_dot1											
absRrehFin	603		AL	411	SL	absRehFin	_tah											
absRehSmallNoonAboveFin	604		AL	412	S	absRehFin	_noon							9.0				
absRehSmallVFin	605		AL	413	SHL	absRehFin	_smallV											
absRehRingFin	606		AL	414	SL	absRehFin				_ring								
absRehDotBelowFin	607		AL	415	SHL	absRehFin		_dot1										
absRehSmallVBelowFin	608		AL	416	SHL	absRehFin		_smallV										
absRehDotBelowDotAboveFin	609		AL	417	SL	absRehFin		_dot1	_dot1									
absRehTwoDotsAboveFin	610		AL	418	SHL	absRehFin	_dot2h											
absJehFin	611		AL	419	SHLM	absRehFin	_dot3u											
absRehFourDotsAboveFin	612		AL	420	SL	absRehFin	_dot4											
absRehTwoVertAboveFin	613		AL	421	SHL	absRehFin	_dot2v											
absRehHamzaAboveFin	614		AL	422	SL	absRehFin	_hamza											
absRehSmallTahTwoDotsFin	615		AL	423	SL	absRehFin	_dot2h_tah							5.1				
# absJehRetro2Fin	616		AL	1523	-	absRehFin	_dot3u_tah											
absZainHatFin	617		AL	424	SHL	absRehFin	_dot1_hat							7.0	absJehFin.dotHat			
absRehHatFin	618		AL	425	SHL	absRehFin	_hat											
absRehBarFin	619		AL	426	SHL	absRehFin					_bar							
absRehLoopFin	620		AL	428	SL									6.1				
absYehTailFin	621		AL	474	SL										moved			
absStraightWawFin	622		AL	345	S									7.0				
absYehBarreeFin	623		AL	433	SHL													
absYehBarreeHamzaAboveFin	624		AL	434	SLM	absYehBarreeFin	_hamza											
absYehBarreeDigitTwoAboveFin	625		AL	435	S	absYehBarreeFin	_two							5.1				
absYehBarreeDigitThreeAboveFin	626		AL	436	S	absYehBarreeFin	_three							5.1				
absYehHamzaAboveFin	627		AL	456	SHLM	absYehFin.noDots	_hamza											
absYehFin	628		AL	457	SHLM	absYehFin.noDots		_dot2h										
absYehFin.noDots	629		AL	455	*													
absHighHamzaYehFin	630		AL	458	SL	absYehFin.noDots	_highHamza											
absFarsiYehFin	631		AL	459	SHLM	absYehFin.noDots												
absFarsiYehDigitTwoAboveFin	632		AL	460	S	absYehFin.noDots	_two							5.1				
absFarsiYehDigitThreeAboveFin	633		AL	461	S	absYehFin.noDots	_three							5.1				
absFarsiYehInvertedVFin	634		AL	462	SHL	absYehFin.noDots	_hat							5.1				
absFarsiYehTwoDotsAboveFin	635		AL	463	SH	absYehFin.noDots	_dot2h							5.1				
absFarsiYehThreeDotsAboveFin	636		AL	464	SH	absYehFin.noDots	_dot3u							5.1				
absYehSmallVFin	637		AL	465	SHL	absYehFin.noDots	_smallV											
absEFin	638		AL	466	SHLM	absYehFin.noDots		_dot2v										
absYehThreeDotsBelowFin	639		AL	467	SHLM	absYehFin.noDots		_dot3d										
absFarsiYehDigitFourBelowFin	640		AL	468	S	absYehFin.noDots		_four						5.1				
absAlefMaksuraFin	641		AL	469	SHLM	absYehFin.noDots												
absKashmiriYehFin	642		AL	476	S	absYehFin.noDots				_ring				6.0				
absYehTwoDotsBelowHamzaAboveFin	643		AL	470	SHM	absYehFin.noDots	_hamza	_dot2h						6.1				
absYehTwoDotsBelowNoonAboveFin	644		AL	471	SH	absYehFin.noDots	_noon	_dot2h						9.0				
absYehTwoDotsBelowDotAboveFin	645		AL	472	SHM	absYehFin.noDots	_dot1	_dot2h						6.1				
absBehNoDotsFin	646		AL	500	*													
absBehFin	647		AL	501	SHLM	absBehNoDotsFin		_dot1										
absTehFin	648		AL	502	SHLM	absBehNoDotsFin	_dot2h											
absThehFin	649		AL	503	SHLM	absBehNoDotsFin	_dot3u											
absTtehFin	650		AL	504	SL	absBehNoDotsFin	_tah											
absTtehehFin	651		AL	505	SHL	absBehNoDotsFin	_dot2v											
absBeehFin	652		AL	506	SHLM	absBehNoDotsFin		_dot2v										
absTehRingFin	653		AL	507	SL	absBehNoDotsFin	_dot2h			_ring								
absTehThreeDotsAboveDownwardsFin	654		AL	508	SHL	absBehNoDotsFin	_dot3d											
absPehFin	655		AL	509	SHLM	absBehNoDotsFin		_dot3d										
absPehSmallMeemAboveFin	656		AL	510	S	absBehNoDotsFin	_meem	_dot3d						9.0				
absTehehFin	657		AL	511	SL	absBehNoDotsFin	_dot4											
absBehehFin	658		AL	512	SL	absBehNoDotsFin		_dot4										
absBehThreeDotsHorizBelowFin	659		AL	513	SHL	absBehNoDotsFin		_dot3h										
absBehThreeDotsAboveDotBelowFin	660		AL	514	SHL	absBehNoDotsFin	_dot3u	_dot1										
absBehThreeDotsUpwardBelowFin	661		AL	515	H	absBehNoDotsFin		_dot3u										
absBehThreeDotsUpBelowFin	661.1		AL	515	SL	absBehNoDotsFin		_dot3u										
absBehTwoDotsAboveThreeDotsUpwardBelowFin	662		AL	516	H	absBehNoDotsFin	_dot2h	_dot3u										
absBehTwoDotsAboveThreeDotsUpBelowFin	662.1		AL	516	SL	absBehNoDotsFin	_dot2h	_dot3u										
absBehDotAboveTwoDotsBelowFin	663		AL	517	SHL	absBehNoDotsFin	_dot1	_dot2h										
absBehInvSmallVBelowFin	664		AL	518	SHLM	absBehNoDotsFin		_invSmallV										
absBehSmallVAboveFin	665		AL	519	SHLM	absBehNoDotsFin	_smallV											
absBehSmallVBelowFin	666		AL	520	SHM	absBehNoDotsFin		_smallV						6.1				
absBehHamzaAboveFin	667		AL	521	SHM	absBehNoDotsFin	_hamza	_dot1						7.0				
absBehSmallMeemAboveFin	668		AL	522	SH	absBehNoDotsFin	_meem	_dot1						9.0				
absBehNoDotsTehAboveFin	668.1		AL	522.1	S	absBehNoDotsFin	_teh							9.0				
absJeemFin	669		AL	541	SHLM	absHahFin			_dot1									
absHahFin	670		AL	542	*													
absKhahFin	671		AL	543	SHLM	absHahFin	_dot1											
absHahHamzaAboveFin	672		AL	544	SL	absHahFin	_hamza											
absHahTwoDotsVerticalAboveFin	673		AL	545	SHL	absHahFin	_dot2v											
absNyehFin	674		AL	546	SHLM	absHahFin			_dot2h									
absDyehFin	675		AL	547	SHL	absHahFin			_dot2v									
absHahThreeDotsAboveFin	676		AL	548	SHL	absHahFin	_dot3u											
absTchehFin	677		AL	549	SHL	absHahFin			_dot3d									
absTchehehFin	678		AL	550	SL	absHahFin			_dot4									
absTchehDotAboveFin	679		AL	551	SHL	absHahFin	_dot1		_dot3d									
# absTchehRetro1Fin	680		AL	1524	-	absHahFin	_tah		_dot3d									
absHahSmallTahTwoDotsFin	681		AL	552	SL	absHahFin			_dot2h_tah					5.1				
absHahSmallTahBelowFin	682		AL	553	SL	absHahFin			_tah					5.1				
# absJeemRetro2Fin	683		AL	1525	-	absHahFin	_tah		_dot1									
absHahSmallTahAboveFin	684		AL	554	SL	absHahFin	_tah							5.1				
absHahTwoDotsAboveFin	685		AL	555	SHL	absHahFin	_dot2h											
absHahThreeDotsUpwardBelowFin	686		AL	556	H	absHahFin			_dot3u									
absHahThreeDotsUpBelowFin	686.1		AL	556	SL	absHahFin			_dot3u									
absHahDigitFourBelowFin	687		AL	557	S	absHahFin			_four					5.1				
absJeemTwoDotsAboveFin	688		AL	558	SH	absHahFin	_dot2h		_dot1					6.1				
absSeenFin	689		AL	618	*													
absSheenFin	690		AL	619	SHLM	absSeenFin	_dot3u											
absSeenDotBelowDotAboveFin	691		AL	620	SHL	absSeenFin	_dot1	_dot1										
absSeenThreeDotsBelowFin	692		AL	621	SHL	absSeenFin		_dot3d										
absSeenThreeDotsBelowThreeDotsAboveFin	693		AL	622	SHL	absSeenFin	_dot3u	_dot3d										
absSheenDotBelowFin	694		AL	623	SHL	absSeenFin	_dot3u	_dot1										
# absSheenRetro1Fin	695		AL	1526	-	absSeenFin	_dot3u_tah											
absSeenSmallTahTwoDotsFin	696		AL	624	SL	absSeenFin	_dot2h_tah							5.1				
absSeenFourDotsAboveFin	697		AL	625	SL	absSeenFin	_dot4											
absSeenTwoVertAboveFin	698		AL	626	SHL	absSeenFin	_dot2v											
absSeenDigitFourAboveFin	699		AL	627	S	absSeenFin	_four							5.1				
absSeenInvertedVFin	700		AL	628	SH	absSeenFin	_hat							5.1				
absSadFin	701		AL	663	*													
absSadFin.half	702		AL	669	H													cv20=1
absDadFin	703		AL	664	SHLM	absSadFin	_dot1											
absDadFin.half	704		AL	670	H	absSadFin.half	_dot1											cv20=1
absSadTwoDotsBelowFin	705		AL	665	SHL	absSadFin		_dot2h										
absSadTwoDotsBelowFin.half	706		AL	671	H	absSadFin.half		_dot2h										cv20=1
absSadThreeDotsAboveFin	707		AL	666	SHL	absSadFin	_dot3u											
absSadThreeDotsAboveFin.half	708		AL	672	H	absSadFin.half	_dot3u											cv20=1
absDadDotBelowFin	709		AL	667	SHL	absSadFin	_dot1	_dot1										
absDadDotBelowFin.half	710		AL	673	H	absSadFin.half	_dot1	_dot1										cv20=1
absSadThreeDotsBelowFin	711		AL	668	SH	absSadFin		_dot3d						7.0				
absSadThreeDotsBelowFin.half	712		AL	674	H	absSadFin.half		_dot3d										cv20=1
absTahFin	713		AL	691	*													
absZahFin	714		AL	692	SHLM	absTahFin	_dot1											
absTahThreeDotsAboveFin	715		AL	693	SHLM	absTahFin	_dot3u											
absTahTwoDotsAboveFin	716		AL	694	SH	absTahFin	_dot2h							6.1				
absAinFin	717		AL	711	*													
absGhainFin	718		AL	712	SHLM	absAinFin	_dot1											
absAinThreeDotsAboveFin	719		AL	713	SHLM	absAinFin	_dot3u											
absAinThreeDotsBelowFin	720		AL	714	S	absAinFin		_dot3d						8.0				
absGhainDotBelowFin	721		AL	715	SHL	absAinFin	_dot1	_dot1										
absAinTwoDotsAboveFin	722		AL	716	SHLM	absAinFin	_dot2h											
absAinThreeDotsDownAboveFin	723		AL	717	SHL	absAinFin	_dot3d											
absAinTwoDotsVertAboveFin	724		AL	718	SHL	absAinFin	_dot2v											
absFehFin	725		AL	748	SHLM	absDotlessFehFin	_dot1											
absDotlessFehFin	726		AL	746	*													
absAfricanFehFin	727		AL	747	SHM	absDotlessFehFin								9.0				
absFehDotMovedBelowFin	728		AL	749	SHLM	absDotlessFehFin		_dot1										
absFehDotBelowFin	729		AL	750	SHL	absDotlessFehFin	_dot1	_dot1										
absVehFin	730		AL	751	SHLM	absDotlessFehFin	_dot3u											
absFehThreeDotsBelowFin	731		AL	752	SHL	absDotlessFehFin		_dot3d										
absPehehFin	732		AL	753	SL	absDotlessFehFin	_dot4											
absFehTwoDotsBelowFin	733		AL	754	SHLM	absDotlessFehFin		_dot2h										
absFehThreeDotsUpwardBelowFin	734		AL	755	H	absDotlessFehFin		_dot3u										
absFehThreeDotsUpBelowFin	734.1		AL	755	SL	absDotlessFehFin		_dot3u										
absFehDotBelowThreeDotsAboveFin	735		AL	756	SH	absDotlessFehFin	_dot3u	_dot1						6.1				
absRohingyaYehFin	736		AL	1003	S									6.1	absFehNoTailTwoDotsBelowFin			
absQafNoDotsFin	737		AL	800	*													
absAfricanQafFin	738		AL	801	SHM	absQafNoDotsFin								9.0				
absQafFin	739		AL	802	SHLM	absQafNoDotsFin	_dot2h											
absQafDotAboveFin	740		AL	803	SHLM	absQafNoDotsFin	_dot1											
absQafThreeDotsAboveFin	741		AL	804	SHLM	absQafNoDotsFin	_dot3u											
absQafDotBelowFin	742		AL	805	SH	absQafNoDotsFin	_dot2h	_dot1						6.1				
absKafFin	743		AL	812	*													
absKafDotAboveFin	744		AL	813	SHL	absKafFin	_dot1											
absKafDotBelowFin	745		AL	814	S	absKafFin		_dot1						8.0				
absNgFin	746		AL	815	SHLM	absKafFin	_dot3u											
absKafTwoDotsAboveFin	747		AL	816	SH	absKafFin	_dot2h							5.1				
absKafThreeDotsBelowFin	748		AL	817	SHL	absKafFin		_dot3d										
absKehehFin	749		AL	832	*													
absKafRingFin	750		AL	833	SL	absKehehFin				_ring								
absGafFin	751		AL	834	SHLM	absKehehFin	_gafBar											
absGafRingFin	752		AL	835	SL	absKehehFin	_gafBar			_ring								
absNgoehFin	753		AL	836	SL	absKehehFin	_gafBar_dot2h											
absGafTwoDotsBelowFin	754		AL	837	SL	absKehehFin	_gafBar	_dot2h										
absGuehFin	755		AL	838	SL	absKehehFin	_gafBar	_dot2v										
absGafThreeDotsAboveFin	756		AL	839	SL	absKehehFin	_gafBar_dot3u											
absKehehDotAboveFin	757		AL	840	SHL	absKehehFin	_dot1											
absKehehThreeDotsAboveFin	758		AL	841	SHLM	absKehehFin	_dot3u											
absKehehThreeDotsUpwardBelowFin	759		AL	842	H	absKehehFin		_dot3u										
absKehehThreeDotsUpBelowFin	759.1		AL	842	SL	absKehehFin		_dot3u										
absKehehTwoDotsAboveFin	760		AL	843	SH	absKehehFin	_dot2h							5.1				
absKehehThreeDotsBelowFin	761		AL	844	SH	absKehehFin		_dot3d						5.1				
absGafInvertedStrokeFin	762		AL	845	S	absKehehFin			_gafBarCenter					7.0				
absSwashKafFin	763		AL	887	*													
absLamFin	764		AL	897	*													
absLamSmallVFin	765		AL	898	SHL	absLamFin	_smallV											
absLamDotAboveFin	766		AL	899	SHL	absLamFin	_dot1											
absLamThreeDotsAboveFin	767		AL	900	SHL	absLamFin	_dot3u											
absLamThreeDotsBelowFin	768		AL	901	SHL	absLamFin		_dot3d										
# absLamRetroFin	769		AL	1527	-	absLamFin	_tah											
absLamBarFin	770		AL	902	SHL	absLamFin					_bar							
absLamDoubleBarFin	771		AL	903	SH	absLamFin					_bar2			6.1				
absMeemFin	772		AL	922	*													
absMeemFin.sindhi	773		AL	939	SHL										Sindhi			
absMeemDotAboveFin	774		AL	923	SHL	absMeemFin	_dot1											
absMeemDotAboveFin.sindhi	775		AL	940	SHL	absMeemFin.sindhi	_dot1								Sindhi			
absMeemDotBelowFin	776		AL	924	SHL	absMeemFin		_dot1										
absMeemDotBelowFin.sindhi	777		AL	941	SHL	absMeemFin.sindhi		_dot1							Sindhi			
absMeemThreeDotsAboveFin	778		AL	925	SH	absMeemFin	_dot3u							6.1				
absMeemThreeDotsAboveFin.sindhi	779		AL	942	SH	absMeemFin.sindhi	_dot3u								Sindhi			
absNoonFin	780		AL	955	SHLM	absNoonGhunnaFin	_dot1											
absNoonDotBelowFin	781		AL	956	SHL	absNoonGhunnaFin	_dot1	_dot1										
absNoonGhunnaFin	782		AL	953	SHLM													
absAfricanNoonFin	783		AL	954	SHM	absNoonGhunnaFin								9.0				
absRnoonFin	784		AL	957	SL	absNoonGhunnaFin	_tah											
absNoonRingFin	785		AL	958	SL	absNoonGhunnaFin	_dot1			_ring								
absNoonThreeDotsAboveFin	786		AL	959	SHL	absNoonGhunnaFin	_dot3u											
absNoonTwoDotsBelowFin	787		AL	960	SHLM	absNoonGhunnaFin	_dot1	_dot2h										
absNoonRetroFin	788		AL	961	SL	absNoonGhunnaFin	_dot1_tah											
absNoonSmallVFin	789		AL	962	SHL	absNoonGhunnaFin	_dot1_smallV											
absHehDoachashmeeFin	790		AL	992	SL													
absHehHatFin	791		AL	986	SL	absHehFin.knottedHigh	_hat											
absHehFin	792		AL	971	SHLM	absAeFin												
absHehFin.knottedFlat	793		AL	993	L	absHehDoachashmeeFin									unused?			
absHehFin.knottedHigh	794		AL	985	SL										"Kurdish, Sindhi"			"cv48=1,3"
absHehFin.hooked	795		AL	975	SL	absHehGoalFin									Urdu			cv48=2
absAeFin	796		AL	970	SHL													
absTehMarbutaFin	797		AL	972	SHLM	absAeFin	_dot2h											
absHehYehAboveFin	798		AL	973	SHL	absAeFin	_hamza											
absHehGoalFin	799		AL	974	SL													
absHehGoalHamzaAboveFin	800		AL	976	SL	absHehGoalFin	_hamza											
absTehMarbutaGoalFin	801		AL	977	SL	absHehGoalFin	_dot2h											
# absLamAlefFin	802		AL	#VALUE!	-													
# absLamSmallVAlefFin	803		AL	#VALUE!	-	absLamAlefFin	_smallV											
# absLamDotAboveAlefFin	804		AL	#VALUE!	-	absLamAlefFin	_dot1											
# absLamThreeDotsAboveAlefFin	805		AL	#VALUE!	-	absLamAlefFin	_dot3u											
# absLamThreeDotsBelowAlefFin	806		AL	#VALUE!	-	absLamAlefFin		_dot3d										
# absLamRetroAlefFin	807		AL	#VALUE!	-	absLamAlefFin	_tah											
# absLamBarAlefFin	808		AL	#VALUE!	-	absLamAlefFin					_bar							
absYehBarreeDigitTwoAboveMed	809		AL	1071	S	absBehNoDotsMed	_two	_dot2h						5.1				
absYehBarreeDigitThreeAboveMed	810		AL	1072	S	absBehNoDotsMed	_three	_dot2h						5.1				
absYehHamzaAboveMed	811		AL	1073	SHLM	absBehNoDotsMed	_hamza											
absYehMed	812		AL	1074	SHLM	absBehNoDotsMed		_dot2h										
absYehMed.noDots	813		AL	1059	SHLM	absBehNoDotsMed												
absHighHamzaYehMed	814		AL	1075	SL	absBehNoDotsMed	_highHamza											
absFarsiYehMed	815		AL	1076	SHLM	absBehNoDotsMed		_dot2h										
absFarsiYehDigitTwoAboveMed	816		AL	1077	S	absBehNoDotsMed	_two	_dot2h						5.1				
absFarsiYehDigitThreeAboveMed	817		AL	1078	S	absBehNoDotsMed	_three	_dot2h						5.1				
absFarsiYehInvertedVMed	818		AL	1079	SHL	absBehNoDotsMed	_hat	_dot2h						5.1				
absFarsiYehTwoDotsAboveMed	819		AL	1080	SH	absBehNoDotsMed	_dot2h	_dot2h						5.1				
absFarsiYehThreeDotsAboveMed	820		AL	1081	SH	absBehNoDotsMed	_dot3u	_dot2h						5.1				
absYehSmallVMed	821		AL	1082	SHL	absBehNoDotsMed	_smallV	_dot2h										
absEMed	822		AL	1083	SHLM	absBehNoDotsMed		_dot2v										
absYehThreeDotsBelowMed	823		AL	1084	SHLM	absBehNoDotsMed		_dot3d										
absFarsiYehDigitFourBelowMed	824		AL	1085	S	absBehNoDotsMed		_four						5.1				
absAlefMaksuraMed	825		AL	1060	SHLM	absBehNoDotsMed												
absKashmiriYehMed	826		AL	1086	S	absBehNoDotsMed				_ring				6.0				
absYehTwoDotsBelowHamzaAboveMed	827		AL	1087	SHM	absBehNoDotsMed	_hamza	_dot2h						6.1				
absYehTwoDotsBelowNoonAboveMed	828		AL	1088	SH	absBehNoDotsMed	_noon	_dot2h						9.0				
absYehTwoDotsBelowDotAboveMed	829		AL	1089	SHM	absBehNoDotsMed	_dot1	_dot2h						6.1				
absBehNoDotsMed	830		AL	1058	*													
absBehMed	831		AL	1090	SHLM	absBehNoDotsMed		_dot1										
absTehMed	832		AL	1091	SHLM	absBehNoDotsMed	_dot2h											
absThehMed	833		AL	1092	SHLM	absBehNoDotsMed	_dot3u											
absTtehMed	834		AL	1093	SL	absBehNoDotsMed	_tah											
absTtehehMed	835		AL	1094	SHL	absBehNoDotsMed	_dot2v											
absBeehMed	836		AL	1095	SHLM	absBehNoDotsMed		_dot2v										
absTehRingMed	837		AL	1096	SL	absBehNoDotsMed	_dot2h			_ring								
absTehThreeDotsAboveDownwardsMed	838		AL	1097	SHL	absBehNoDotsMed	_dot3d											
absPehMed	839		AL	1098	SHLM	absBehNoDotsMed		_dot3d										
absPehSmallMeemAboveMed	840		AL	1099	S	absBehNoDotsMed	_meem	_dot3d						9.0				
absTehehMed	841		AL	1100	SL	absBehNoDotsMed	_dot4											
absBehehMed	842		AL	1101	SL	absBehNoDotsMed		_dot4										
absBehThreeDotsHorizBelowMed	843		AL	1102	SHL	absBehNoDotsMed		_dot3h										
absBehThreeDotsAboveDotBelowMed	844		AL	1103	SHL	absBehNoDotsMed	_dot3u	_dot1										
absBehThreeDotsUpwardBelowMed	845		AL	1104	H	absBehNoDotsMed		_dot3u										
absBehThreeDotsUpBelowMed	845.1		AL	1104	SL	absBehNoDotsMed		_dot3u										
absBehTwoDotsAboveThreeDotsUpwardBelowMed	846		AL	1105	H	absBehNoDotsMed	_dot2h	_dot3u										
absBehTwoDotsAboveThreeDotsUpBelowMed	846.1		AL	1105	SL	absBehNoDotsMed	_dot2h	_dot3u										
absBehDotAboveTwoDotsBelowMed	847		AL	1106	SHL	absBehNoDotsMed	_dot1	_dot2h										
absBehInvSmallVBelowMed	848		AL	1107	SHLM	absBehNoDotsMed		_invSmallV										
absBehSmallVAboveMed	849		AL	1108	SHLM	absBehNoDotsMed	_smallV											
absBehSmallVBelowMed	850		AL	1109	SHM	absBehNoDotsMed		_smallV						6.1				
absBehHamzaAboveMed	851		AL	1110	SHM	absBehNoDotsMed	_hamza	_dot1						7.0				
absBehSmallMeemAboveMed	852		AL	1111	SH	absBehNoDotsMed	_meem	_dot1						9.0				
absBehNoDotsTehAboveMed	852.1		AL	1111.1	S	absBehNoDotsMed	_teh							9.0				
absJeemMed	853		AL	578	SHLM	absHahMed		_dot1										
absJeemMed.hand	854		AL	595	H	absHahMed.hand		_dot1										cv08=1
absHahMed	855		AL	577	*													
absHahMed.hand	856		AL	596	H													cv08=1
absKhahMed	857		AL	579	SHLM	absHahMed	_dot1											
absKhahMed.hand	858		AL	597	H	absHahMed.hand	_dot1											cv08=1
absHahHamzaAboveMed	859		AL	580	SL	absHahMed	_hamza											
absHahTwoDotsVerticalAboveMed	860		AL	581	SHL	absHahMed	_dot2v											
